OBJECTID,COUNTRY,XCOORD,YCOORD
5,Algeria,7.214069,37.088356
5,Algeria,7.843892,36.842943
5,Algeria,8.226941,36.951931
5,Algeria,8.682272,36.842136
5,Algeria,8.150656,36.496314
5,Algeria,8.40876,36.411867
5,Algeria,8.261408,35.754318
5,Algeria,8.31758,35.311604
5,Algeria,8.47983,35.244312
5,Algeria,8.256862,34.928455
5,Algeria,8.324925,34.732761
5,Algeria,7.514459,34.061737
5,Algeria,7.741954,33.254242
5,Algeria,8.121872,33.090992
5,Algeria,8.362706,32.517815
5,Algeria,9.094433,32.093468
5,Algeria,9.550505,30.227852
5,Algeria,9.413707,30.042114
5,Algeria,9.785453,29.42688
5,Algeria,9.90263,28.752766
5,Algeria,9.770684,28.264131
5,Algeria,9.964858,27.866993
5,Algeria,9.782953,27.281284
5,Algeria,9.949389,26.794882
5,Algeria,9.866177,26.520996
5,Algeria,9.363614,26.234579
5,Algeria,10.027106,25.323315
5,Algeria,10.218337,24.645488
5,Algeria,10.899114,24.555817
5,Algeria,11.419456,24.202881
5,Algeria,11.604098,24.263821
5,Algeria,12.000768,23.500614
5,Algeria,7.535307,20.889645
5,Algeria,5.817575,19.443741
5,Algeria,3.300011,19.002914
5,Algeria,3.114052,19.151401
5,Algeria,3.25595,19.844259
5,Algeria,2.674171,20.084209
5,Algeria,2.390009,20.01606
5,Algeria,2.211028,20.313721
5,Algeria,1.901789,20.234756
5,Algeria,1.559456,20.599193
5,Algeria,1.171388,20.727253
5,Algeria,1.166484,21.108513
5,Algeria,0.49334,21.57217
5,Algeria,-8.667324,27.364883
5,Algeria,-8.68078,28.720184
5,Algeria,-7.676082,29.388181
5,Algeria,-7.079311,29.652615
5,Algeria,-6.537864,29.585259
5,Algeria,-5.300841,29.913368
5,Algeria,-4.844698,30.407753
5,Algeria,-3.560371,30.880508
5,Algeria,-3.537565,31.044273
5,Algeria,-3.759595,31.106071
5,Algeria,-3.792353,31.606636
5,Algeria,-2.962474,31.79512
5,Algeria,-2.828611,32.040596
5,Algeria,-1.156365,32.108917
5,Algeria,-1.302361,32.166681
5,Algeria,-1.249084,32.319202
5,Algeria,-0.998036,32.513008
5,Algeria,-1.387965,32.748699
5,Algeria,-1.66911,33.282008
5,Algeria,-1.6877,34.49295
5,Algeria,-1.854714,34.619164
5,Algeria,-1.741013,34.746065
5,Algeria,-2.212148,35.084249
5,Algeria,-1.380131,35.307782
5,Algeria,-0.824311,35.769539
5,Algeria,-0.634718,35.710176
5,Algeria,-0.338977,35.909569
5,Algeria,-0.097824,35.790894
5,Algeria,0.345482,36.194794
5,Algeria,1.343322,36.551609
5,Algeria,2.56718,36.594093
5,Algeria,2.894892,36.805304
5,Algeria,3.488715,36.76775
5,Algeria,3.892527,36.923205
5,Algeria,4.788025,36.891251
5,Algeria,5.302324,36.637027
5,Algeria,6.366316,37.077787
5,Algeria,6.930914,36.880552
5,Algeria,7.26225,36.982531
5,Algeria,7.214069,37.088356
5,Algeria,-0.246278,35.822265
5,Algeria,-0.246137,35.82219
5,Algeria,-0.245867,35.822161
5,Algeria,-0.246278,35.822265
6,Algeria,-1.129058,35.724604
6,Algeria,-1.13233,35.719152
6,Algeria,-1.139316,35.720949
6,Algeria,-1.133778,35.726725
6,Algeria,-1.122838,35.727967
6,Algeria,-1.129058,35.724604
9,Angola,13.23957,-9.200375
9,Angola,13.359375,-9.165466
9,Angola,13.248435,-9.187589
9,Angola,13.227361,-9.21044
9,Angola,13.217301,-9.257673
9,Angola,13.217935,-9.262562
9,Angola,13.220041,-9.266412
9,Angola,13.210209,-9.273278
9,Angola,13.204574,-9.289643
9,Angola,13.196915,-9.290251
9,Angola,13.192173,-9.29229
9,Angola,13.186252,-9.326787
9,Angola,13.165497,-9.320984
9,Angola,13.153427,-9.345249
9,Angola,12.995821,-9.097836
9,Angola,12.996731,-9.031923
9,Angola,13.397833,-8.748194
9,Angola,13.394187,-8.393006
9,Angola,12.829332,-6.992862
9,Angola,12.273465,-6.138192
9,Angola,12.608666,-6.139102
9,Angola,12.502441,-6.086243
9,Angola,13.00249,-5.898485
9,Angola,16.573448,-5.871388
9,Angola,16.940141,-7.234325
9,Angola,17.56573,-8.128509
9,Angola,18.532308,-7.918053
9,Angola,19.379949,-8.001137
9,Angola,19.548424,-6.999493
9,Angola,20.627347,-6.916752
9,Angola,20.557117,-7.287712
9,Angola,21.787885,-7.283764
9,Angola,21.750774,-7.940041
9,Angola,21.953105,-8.505478
9,Angola,21.791466,-9.418545
9,Angola,22.186294,-9.919796
9,Angola,22.3284,-10.385685
9,Angola,22.334046,-10.739822
9,Angola,22.167689,-10.867023
9,Angola,22.249535,-11.260471
9,Angola,22.558719,-11.030788
9,Angola,23.083851,-11.113529
9,Angola,23.42793,-10.942726
9,Angola,24.020124,-10.946631
9,Angola,24.077125,-12.383137
9,Angola,23.893446,-12.838726
9,Angola,24.06366,-13.000817
9,Angola,22.003163,-12.995496
9,Angola,22.001531,-16.208096
9,Angola,22.122518,-16.493011
9,Angola,23.42912,-17.63679
9,Angola,20.824755,-18.039427
9,Angola,20.324681,-17.862396
9,Angola,18.903931,-17.81991
9,Angola,18.422016,-17.390792
9,Angola,13.955268,-17.433071
9,Angola,13.461819,-17.01057
9,Angola,13.168851,-16.963524
9,Angola,12.56463,-17.243085
9,Angola,12.08027,-17.141826
9,Angola,11.789415,-17.272149
9,Angola,11.731544,-15.878033
9,Angola,12.153739,-15.182299
9,Angola,12.53093,-13.418668
9,Angola,12.978627,-12.982669
9,Angola,12.942871,-12.832031
9,Angola,13.473803,-12.510579
9,Angola,13.79388,-11.81234
9,Angola,13.854386,-10.959868
9,Angola,13.197497,-9.692388
9,Angola,13.23957,-9.200375
9,Angola,12.782166,-4.385605
9,Angola,13.110042,-4.677858
9,Angola,12.461911,-5.076885
9,Angola,12.525631,-5.74173
9,Angola,12.199683,-5.768917
9,Angola,12.009079,-5.029437
9,Angola,12.782166,-4.385605
52,Benin,2.852149,12.39584
52,Benin,3.563582,11.776314
52,Benin,3.457014,11.449127
52,Benin,3.725177,11.133099
52,Benin,3.844235,10.593052
52,Benin,3.77893,10.419331
52,Benin,3.601946,10.416584
52,Benin,3.608399,9.981445
52,Benin,3.331602,9.810619
52,Benin,3.087149,9.104061
52,Benin,2.778118,9.066811
52,Benin,2.649856,7.897845
52,Benin,2.795231,7.48066
52,Benin,2.716406,6.459666
52,Benin,2.430267,6.512101
52,Benin,2.428257,6.343589
52,Benin,1.631999,6.235701
52,Benin,1.810161,6.288922
52,Benin,1.575272,6.688421
52,Benin,1.62131,9.045782
52,Benin,1.337129,9.550552
52,Benin,1.353644,10.00391
52,Benin,0.774414,10.384766
52,Benin,0.800407,10.721111
52,Benin,1.395272,11.452904
52,Benin,2.028405,11.438629
52,Benin,2.465544,11.980119
52,Benin,2.374246,12.241516
52,Benin,2.852149,12.39584
52,Benin,2.627957,6.459699
52,Benin,2.711006,6.376288
52,Benin,2.442584,6.360527
52,Benin,2.4412,6.395354
52,Benin,2.627957,6.459699
53,Benin,1.889875,6.293277
53,Benin,1.908473,6.292035
53,Benin,1.856904,6.284929
53,Benin,1.858708,6.287098
53,Benin,1.889875,6.293277
54,Benin,1.92098,6.303349
54,Benin,1.92653,6.302344
54,Benin,1.928046,6.299819
54,Benin,1.917918,6.299666
54,Benin,1.92098,6.303349
54,Benin,2.373055,6.462415
54,Benin,2.378696,6.462255
54,Benin,2.378727,6.453594
54,Benin,2.374185,6.45507
54,Benin,2.373055,6.462415
54,Benin,2.486538,6.38717
54,Benin,2.483201,6.387684
54,Benin,2.478834,6.39606
54,Benin,2.486742,6.388226
54,Benin,2.486538,6.38717
54,Benin,1.855382,6.287323
54,Benin,1.851102,6.286444
54,Benin,1.86105,6.289993
54,Benin,1.855382,6.287323
54,Benin,2.392688,6.400074
54,Benin,2.39049,6.399865
54,Benin,2.388692,6.405999
54,Benin,2.392449,6.404046
54,Benin,2.392688,6.400074
54,Benin,1.939603,6.295559
54,Benin,1.937834,6.294731
54,Benin,1.93286,6.295009
54,Benin,1.939229,6.297581
54,Benin,1.939603,6.295559
54,Benin,2.379988,6.464162
